isabellas-taverna-tapas-bar,"Isabellas Taverna Tapas Bar",dfp,isabellas-taverna-and-tapas-bar,"Isabellas Taverna and Tapas Bar",dfp,1.00,4,no,0.99
hollerstown-hill-bed-and-breakfast,"Hollerstown Hill Bed and Breakfast",dfp,hollerstown-hill-bed-breakfast,"Hollerstown Hill Bed Breakfast",dfp,1.00,9,no,0.98
leroux-winik-llc,"Leroux Winik LLC",dfp,leroux-and-winik,"Leroux and Winik",dfp,1.00,10,no,0.98
calvary-united-methodist-church-9,"Calvary United Methodist Church 9",dfp,calvary-united-methodist-church-7,"Calvary United Methodist Church 7",dfp,0.97,0,no,0.98
calvary-united-methodist-church-9,"Calvary United Methodist Church 9",dfp,calvary-united-methodist-church-8,"Calvary United Methodist Church 8",dfp,0.97,0,no,0.98
calvary-united-methodist-church-7,"Calvary United Methodist Church 7",dfp,calvary-united-methodist-church-8,"Calvary United Methodist Church 8",dfp,0.97,0,no,0.98
hootch-and-banter,"Hootch and Banter",dfp,hootch-banter,"Hootch Banter",dfp,1.00,7,no,0.98
the-curious-iguana-frederick,"Curious Iguana",manual,curious-iguana,"Curious Iguana",dfp,1.00,19,no,0.96
north-market-pop-shop-frederick,"North Market Pop Shop",manual,north-market-pop-shop,"North Market Pop Shop",dfp,1.00,19,no,0.96
frederick-basket-company,"Frederick Basket Company",dfp,the-frederick-basket-co,"The Frederick Basket Co",dfp,1.00,18,no,0.96
transportation-management-services-inc,"Transportation Management Services Inc",dfp,transportation-management-services-tms,"Transportation Management Services Tms",dfp,0.89,0,no,0.94
the-tire-mart-automotive,"The Tire Mart Automotive",dfp,tire-mart-and-automotive,"Tire Mart and Automotive",dfp,1.00,26,no,0.94
brewers-alley-frederick,"Brewer's Alley",manual,brewers-alley,"Brewers Alley",dfp,1.00,31,no,0.93
family-heritage-trust-company,"Family Heritage Trust Company",dfp,the-family-heritage-trust-company,"The Family Heritage Trust Company",dfp,1.00,32,no,0.93
isabellas-taverna-tapas-bar-frederick,"Isabella's Taverna & Tapas Bar",manual,isabellas-taverna-and-tapas-bar,"Isabellas Taverna and Tapas Bar",dfp,1.00,37,no,0.92
donald-b-rice-tire-co,"Donald B Rice Tire Co",dfp,donald-b-rice-tire-co-inc,"Donald B Rice Tire Co Inc",dfp,1.00,35,no,0.92
isabellas-taverna-tapas-bar-frederick,"Isabella's Taverna & Tapas Bar",manual,isabellas-taverna-tapas-bar,"Isabellas Taverna Tapas Bar",dfp,1.00,38,no,0.91
